year,imdb,clean_test,binary
2013,tt1711425,notalk,FAIL
2012,tt1343727,ok,PASS
2013,tt2024544,notalk,FAIL
2013,tt1272878,notalk,FAIL
2013,tt0453562,men,FAIL
2013,tt1335975,men,FAIL
2013,tt1606378,notalk,FAIL
2013,tt2194499,ok,PASS
2013,tt1814621,ok,PASS
2013,tt1815862,notalk,FAIL
2013,tt1800241,ok,PASS
2013,tt1322269,ok,PASS
2013,tt1559547,ok,PASS
2013,tt2334873,ok,PASS
2013,tt1535109,notalk,FAIL
2013,tt1939659,ok,PASS
2013,tt1985966,nowomen,FAIL
2013,tt1690953,ok,PASS
2013,tt2229499,dubious,FAIL
2013,tt1535108,ok,PASS
2013,tt1731141,men,FAIL
2013,tt0848537,ok,PASS
2013,tt0765446,ok,PASS
2013,tt1211956,men,FAIL
2013,tt1288558,ok,PASS
2013,tt1905041,ok,PASS
2013,tt2294629,ok,PASS
2013,tt1583421,ok,PASS
2013,tt1321870,notalk,FAIL
2013,tt2425486,ok,PASS
2013,tt1454468,nowomen,FAIL
2013,tt2191701,men,FAIL
2013,tt1428538,ok,PASS
2013,tt1798709,men,FAIL
2013,tt2024432,men,FAIL
2013,tt2226417,men,FAIL
2013,tt1300854,dubious,FAIL
2013,tt1351685,nowomen,FAIL
2013,tt1650554,ok,PASS
2013,tt1204975,notalk,FAIL
2013,tt1327773,ok,PASS
2013,tt2002718,ok,PASS
2013,tt2023587,ok,PASS
2013,tt0770828,ok,PASS
2013,tt1821549,ok,PASS
2013,tt1670345,notalk,FAIL
2013,tt1483013,men,FAIL
2013,tt2302755,notalk,FAIL
2013,tt1623205,ok,PASS
2013,tt1663662,notalk,FAIL
2013,tt1980209,notalk,FAIL
2013,tt1904996,ok,PASS
2013,tt1699755,dubious,FAIL
2013,tt1854564,ok,PASS
2013,tt1392214,ok,PASS
2013,tt0790736,notalk,FAIL
2013,tt1821694,ok,PASS
2013,tt1411250,notalk,FAIL
2013,tt2364841,nowomen,FAIL
2013,tt1979320,notalk,FAIL
2013,tt1702439,ok,PASS
2013,tt2140373,ok,PASS
2013,tt2053463,ok,PASS
2013,tt1408101,notalk,FAIL
2013,tt1572315,ok,PASS
2013,tt1931435,ok,PASS
2013,tt0816442,ok,PASS
2013,tt1911644,ok,PASS
2013,tt1457767,ok,PASS
2013,tt2193215,ok,PASS
2013,tt0481499,men,FAIL
2013,tt2404311,men,FAIL
2013,tt1837703,notalk,FAIL
2013,tt2005374,nowomen,FAIL
2013,tt1343092,dubious,FAIL
2013,tt1951261,men,FAIL
2013,tt2404463,ok,PASS
2013,tt1170358,notalk,FAIL
2013,tt1517260,dubious,FAIL
2013,tt1951264,ok,PASS
2013,tt0790628,notalk,FAIL
2013,tt2234155,notalk,FAIL
2013,tt2034139,ok,PASS
2013,tt1210819,notalk,FAIL
2013,tt1538403,ok,PASS
2013,tt2184339,dubious,FAIL
2013,tt2017020,ok,PASS
2013,tt1758795,ok,PASS
2013,tt1727388,ok,PASS
2013,tt0993846,notalk,FAIL
2013,tt1430132,ok,PASS
2013,tt1213663,men,FAIL
2013,tt1245492,notalk,FAIL
2013,tt1981115,dubious,FAIL
2013,tt1924429,nowomen,FAIL
2013,tt1860353,dubious,FAIL
2013,tt1588173,men,FAIL
2013,tt1723121,ok,PASS
2013,tt2334879,men,FAIL
2013,tt0816711,dubious,FAIL
2012,tt1611224,dubious,FAIL
2012,tt1591479,nowomen,FAIL
2012,tt1602620,dubious,FAIL
2012,tt1781769,men,FAIL
2012,tt1024648,ok,PASS
2012,tt1440129,notalk,FAIL
2012,tt2125435,dubious,FAIL
2012,tt1758575,ok,PASS
2012,tt1217209,ok,PASS
2012,tt1308729,nowomen,FAIL
2012,tt1991245,notalk,FAIL
2012,tt1706593,notalk,FAIL
2012,tt1371111,ok,PASS
2012,tt1524137,ok,PASS
2012,tt1853728,notalk,FAIL
2012,tt1907668,dubious,FAIL
