word,in_owl,in_csw,in_wwf
AA,1,1,0
AB,1,1,0
AD,1,1,0
AE,1,1,0
AG,1,1,0
AH,1,1,0
AI,1,1,0
AL,1,1,0
AM,1,1,0
AN,1,1,0
AR,1,1,0
AS,1,1,0
AT,1,1,0
AW,1,1,0
AX,1,1,0
AY,1,1,0
BA,1,1,0
BE,1,1,0
BI,1,1,0
BO,1,1,0
BY,1,1,0
DE,1,1,0
DO,1,1,0
ED,1,1,0
EF,1,1,0
EH,1,1,0
EL,1,1,0
EM,1,1,0
EN,1,1,0
ER,1,1,0
ES,1,1,0
ET,1,1,0
EW,1,1,0
EX,1,1,0
FA,1,1,0
FE,1,1,0
GO,1,1,0
HA,1,1,0
HE,1,1,0
HI,1,1,0
HM,1,1,0
HO,1,1,0
ID,1,1,0
IF,1,1,0
IN,1,1,0
IS,1,1,0
IT,1,1,0
JO,1,1,0
KA,1,1,0
KI,1,1,0
LA,1,1,0
LI,1,1,0
LO,1,1,0
MA,1,1,0
ME,1,1,0
MI,1,1,0
MM,1,1,0
MO,1,1,0
MU,1,1,0
MY,1,1,0
NA,1,1,0
NE,1,1,0
NO,1,1,0
NU,1,1,0
OD,1,1,0
OE,1,1,0
OF,1,1,0
OH,1,1,0
OI,1,1,0
OM,1,1,0
ON,1,1,0
OP,1,1,0
OR,1,1,0
OS,1,1,0
OW,1,1,0
OX,1,1,0
OY,1,1,0
PA,1,1,0
PE,1,1,0
PI,1,1,0
QI,1,1,0
RE,1,1,0
SH,1,1,0
SI,1,1,0
SO,1,1,0
TA,1,1,0
TI,1,1,0
TO,1,1,0
UH,1,1,0
UM,1,1,0
UN,1,1,0
UP,1,1,0
US,1,1,0
UT,1,1,0
WE,1,1,0
WO,1,1,0
XI,1,1,0
XU,1,1,0
YA,1,1,0
YE,1,1,0
YO,1,1,0
ZA,1,1,0
CH,0,1,0
DA,0,1,1
DI,0,1,1
EA,0,1,0
EE,0,1,0
FY,0,1,0
GI,0,1,1
GU,0,1,0
IO,0,1,0
JA,0,1,0
KO,0,1,0
KY,0,1,0
NY,0,1,0
OB,0,1,0
OO,0,1,0
OU,0,1,0
PO,0,1,0
ST,0,1,0
TE,0,1,0
UG,0,1,0
UR,0,1,0
YU,0,1,0
ZO,0,1,0
FI,0,0,1
