,SHOW,SEASON,CONTESTANT,week,elimination_week,went_on_date,n_people_on_date
0,Bachelorette,13,13_BRYAN_A,1,0,0,-1
1,Bachelorette,13,13_PETER_K,1,0,0,-1
2,Bachelorette,13,13_ERIC_B,1,0,0,-1
3,Bachelorette,13,13_DEAN_U,1,0,0,-1
4,Bachelorette,13,13_ADAM_G,1,0,0,-1
5,Bachelorette,13,13_MATT_M,1,0,0,-1
6,Bachelorette,13,13_ALEX_B,1,0,0,-1
7,Bachelorette,13,13_WILL_G,1,0,0,-1
8,Bachelorette,13,13_KENNY_L,1,0,0,-1
9,Bachelorette,13,13_ANTHONY_B,1,0,0,-1
10,Bachelorette,13,13_JOSIAH_G,1,0,0,-1
11,Bachelorette,13,13_LEE_G,1,0,0,-1
12,Bachelorette,13,13_IGGY_R,1,0,0,-1
13,Bachelorette,13,13_JONATHAN_T,1,0,0,-1
14,Bachelorette,13,13_JACK_S,1,0,0,-1
15,Bachelorette,13,13_BRADY_E,1,0,0,-1
16,Bachelorette,13,13_BRYCE_P,1,0,0,-1
17,Bachelorette,13,13_DIGGY_M,1,0,0,-1
18,Bachelorette,13,13_FRED_J,1,0,0,-1
19,Bachelorette,13,13_BLAKE_E,1,0,0,-1
20,Bachelorette,13,13_JAMEY_K,1,0,0,-1
21,Bachelorette,13,13_LUCAS_Y,1,0,0,-1
22,Bachelorette,13,13_DEMARIO_J,1,0,0,-1
23,Bachelorette,13,13_BLAKE_K,1,1,0,-1
24,Bachelorette,13,13_GRANT_H,1,1,0,-1
25,Bachelorette,13,13_JEDIDIAH_B,1,1,0,-1
26,Bachelorette,13,13_KYLE_S,1,1,0,-1
27,Bachelorette,13,13_MICHAEL_B,1,1,0,-1
28,Bachelorette,13,13_MILTON_L,1,1,0,-1
29,Bachelorette,13,13_MOHIT_S,1,1,0,-1
30,Bachelorette,13,13_ROB_H,1,1,0,-1
31,Bachelorette,12,12_JORDAN_R,1,0,0,-1
32,Bachelorette,12,12_ROBBY_H,1,0,0,-1
33,Bachelorette,12,12_CHASE_M,1,0,0,-1
34,Bachelorette,12,12_LUKE_P,1,0,0,-1
35,Bachelorette,12,12_JAMES_T,1,0,0,-1
36,Bachelorette,12,12_ALEX_W,1,0,0,-1
37,Bachelorette,12,12_DEREK_P,1,0,0,-1
38,Bachelorette,12,12_WELLS_A,1,0,0,-1
39,Bachelorette,12,12_VINCENT_V,1,0,0,-1
40,Bachelorette,12,12_GRANT_K,1,0,0,-1
41,Bachelorette,12,12_EVAN_B,1,0,0,-1
42,Bachelorette,12,12_JAMES_F,1,0,0,-1
43,Bachelorette,12,12_DANIEL_M,1,0,0,-1
44,Bachelorette,12,12_CHAD_J,1,0,0,-1
45,Bachelorette,12,12_NICK_B,1,0,0,-1
46,Bachelorette,12,12_CHRISTIAN_B,1,0,0,-1
47,Bachelorette,12,12_ALI_Z,1,0,0,-1
